0_0001100_0_1101010,3392.000000,3479.363614,0.025109
0_0010010_0_1101101,223232.000000,226509.987613,0.014472
0_0010001_0_1011100,94208.000000,95294.263610,0.011399
0_0001111_0_1000101,17664.000000,17920.424384,0.014309
0_0010010_1_1100001,-198656.000000,-201962.131815,0.016370
0_0010000_1_1001010,-37888.000000,-38435.499842,0.014245
0_0010010_0_1000001,133120.000000,134898.301777,0.013183
0_0010001_1_1011110,-96256.000000,-99301.709654,0.030671
0_0010000_1_1001001,-37376.000000,-37880.605857,0.013321
0_0010010_1_1110011,-235520.000000,-237030.125304,0.006371
0_0010000_0_1000000,32768.000000,33457.060271,0.020595
0_0010010_1_1000011,-137216.000000,-140121.807213,0.020738
0_0010000_0_1101011,54784.000000,55194.526117,0.007438
0_0010000_0_1110110,60416.000000,61085.347468,0.010958
0_0010000_1_1000011,-34304.000000,-35041.008210,0.021033
0_0010001_0_1010011,84992.000000,86085.115748,0.012698
0_0001100_1_1101001,-3360.000000,-3396.025562,0.010608
0_0010000_1_1101011,-54784.000000,-55667.211257,0.015866
0_0001110_0_1110010,14592.000000,14761.013992,0.011450
0_0001110_0_1000011,8576.000000,8692.120300,0.013359
0_0010010_0_1000101,141312.000000,143465.454379,0.015010
0_0010000_1_1111010,-62464.000000,-62576.911806,0.001804
0_0010001_0_1101100,110592.000000,113982.767243,0.029748
0_0010000_0_1100000,49152.000000,50183.768152,0.020560
0_0010010_1_1100111,-210944.000000,-214345.953561,0.015871
0_0010001_1_1001101,-78848.000000,-80123.275199,0.015916
0_0001110_0_1101010,13568.000000,13831.409622,0.019044
0_0010001_0_1011100,94208.000000,95895.337238,0.017596
0_0001111_0_1001110,19968.000000,19994.757456,0.001338
0_0001110_1_1100110,-13056.000000,-13306.341160,0.018814
0_0010001_1_1101110,-112640.000000,-112962.991567,0.002859
0_0001001_0_1001110,312.000000,318.108428,0.019202
0_0001110_0_1010110,11008.000000,11237.994800,0.020466
0_0010010_1_1001000,-147456.000000,-151202.769467,0.024780
0_0001101_1_1011110,-6016.000000,-6189.677371,0.028059
0_0010001_1_1101100,-110592.000000,-113234.788298,0.023339
0_0001110_0_1011011,11648.000000,11791.244204,0.012148
0_0001011_1_1011010,-1440.000000,-1461.106154,0.014445
0_0010000_0_1100110,52224.000000,53545.968418,0.024688
0_0001111_1_1100111,-26368.000000,-26748.423792,0.014222
0_0010000_1_1111000,-61440.000000,-62420.898164,0.015714
0_0010010_1_1010001,-165888.000000,-167540.045643,0.009861
0_0010001_0_1100010,100352.000000,102828.315189,0.024082
0_0010000_1_1100101,-51712.000000,-52800.846425,0.020622
0_0001101_1_1001011,-4800.000000,-4876.296091,0.015646
0_0010001_0_1001101,78848.000000,80290.135955,0.017962
0_0010001_1_1101110,-112640.000000,-114646.227803,0.017499
0_0001101_0_1001010,4736.000000,4820.876240,0.017606
0_0010000_0_1111010,62464.000000,63189.882180,0.011487
0_0010000_1_1000100,-34816.000000,-35556.223772,0.020818
0_0010001_0_1001101,78848.000000,79517.884022,0.008424
0_0010001_0_1000100,69632.000000,70299.846407,0.009500
0_0010000_0_1001011,38400.000000,39284.873499,0.022525
0_0010010_1_1001001,-149504.000000,-151128.915261,0.010752
0_0010001_1_1011111,-97280.000000,-97146.657907,0.001373
0_0001111_1_1111010,-31232.000000,-31415.203647,0.005832
0_0010010_1_1100001,-198656.000000,-202326.182947,0.018140
0_0010001_1_1011011,-93184.000000,-95445.914896,0.023698
0_0010001_0_1010000,81920.000000,82792.463921,0.010538
0_0010001_1_1101110,-112640.000000,-116577.949746,0.033780
0_0001010_1_1011000,-704.000000,-718.892553,0.020716
0_0010001_1_1100010,-100352.000000,-100319.499248,0.000324
0_0010010_0_1100011,202752.000000,203046.685761,0.001451
0_0010010_1_1001010,-151552.000000,-153746.655671,0.014274
0_0010010_0_1100101,206848.000000,207979.236345,0.005439
0_0001010_1_1011110,-752.000000,-759.606434,0.010014
0_0010000_0_1100001,49664.000000,50714.412070,0.020712
0_0010001_0_1010111,89088.000000,89860.979807,0.008602
0_0010001_0_1010011,84992.000000,86281.618357,0.014947
0_0001111_0_1111110,32256.000000,32403.450045,0.004550
0_0010010_0_1010001,165888.000000,169433.737352,0.020927
