1_0000101_0_1100100,0.024414,0.024616,0.008206
1_0000000_0_1110100,0.906250,0.908452,0.002424
0_0000010_0_1010000,2.500000,2.502867,0.001145
0_0000001_0_1100000,1.500000,1.513029,0.008611
0_0000001_1_1001001,-1.140625,-1.140304,0.000281
1_0000001_1_1001111,-0.308594,-0.304899,0.012119
1_0000000_0_1001100,0.593750,0.610894,0.028063
0_0000001_1_1010011,-1.296875,-1.280108,0.013098
0_0000010_1_1100000,-3.000000,-2.978750,0.007134
0_0000001_1_1000001,-1.015625,-1.005437,0.010133
0_0000010_0_1000110,2.187500,2.267437,0.035254
1_0000000_1_1100010,-0.765625,-0.761100,0.005946
1_0000010_0_1111100,0.242188,0.247583,0.021791
1_0000001_0_1001100,0.296875,0.299782,0.009697
0_0000010_1_1111110,-3.937500,-3.921895,0.003979
1_0000000_0_1000000,0.500000,0.506382,0.012603
0_0000011_1_1000000,-4.000000,-3.970943,0.007317
0_0000001_1_1000011,-1.046875,-1.049958,0.002937
0_0000010_0_1100100,3.125000,3.155641,0.009710
0_0000010_0_1010010,2.562500,2.627966,0.024911
0_0000001_0_1010101,1.328125,1.333209,0.003814
1_0000000_1_1001110,-0.609375,-0.606881,0.004110
1_0000000_0_1100110,0.796875,0.806642,0.012108
0_0000010_0_1001010,2.312500,2.336128,0.010114
0_0000001_1_1000101,-1.078125,-1.074810,0.003084
0_0000001_1_1100110,-1.593750,-1.594680,0.000583
0_0000100_0_1101011,13.375000,13.271079,0.007831
0_0000001_0_1001101,1.203125,1.206877,0.003108
0_0000001_0_1001000,1.125000,1.144428,0.016976
0_0000100_1_1001010,-9.250000,-9.203206,0.005085
1_0000000_1_1101110,-0.859375,-0.842547,0.019972
1_0000111_0_1011100,0.005615,0.005667,0.009160
0_0000100_0_1000110,8.750000,8.786943,0.004204
0_0000001_1_1100111,-1.609375,-1.598282,0.006940
1_0000001_1_1001100,-0.296875,-0.297682,0.002712
0_0000001_1_1000100,-1.062500,-1.055399,0.006728
1_0000001_0_1010110,0.335938,0.334677,0.003767
1_0000001_1_1111000,-0.468750,-0.470206,0.003097
0_0000001_0_1011000,1.375000,1.409739,0.024642
1_0000000_1_1001011,-0.585938,-0.577116,0.015285
1_0000001_1_1001110,-0.304688,-0.304314,0.001228
0_0000001_1_1011000,-1.375000,-1.362082,0.009484
0_0000001_0_1010011,1.296875,1.309065,0.009312
1_0000001_1_1000010,-0.257812,-0.254618,0.012544
1_0000000_1_1001011,-0.585938,-0.586909,0.001654
1_0000001_0_1110010,0.445312,0.454823,0.020911
1_0000000_1_1101000,-0.812500,-0.795188,0.021771
1_0000011_0_1101010,0.103516,0.103706,0.001837
1_0000000_0_1101111,0.867188,0.876979,0.011165
1_0000000_1_1001000,-0.562500,-0.560148,0.004199
0_0000010_0_1001101,2.406250,2.401826,0.001842
1_0000000_0_1001101,0.601562,0.604742,0.005257
0_0000010_0_1010110,2.687500,2.685855,0.000613
1_0000000_1_1100110,-0.796875,-0.789693,0.009094
0_0000001_1_1101100,-1.687500,-1.680489,0.004172
1_0000001_1_1111101,-0.488281,-0.484414,0.007983
1_0000000_1_1111000,-0.937500,-0.936952,0.000585
1_0000001_1_1101010,-0.414062,-0.408360,0.013965
0_0000010_0_1001010,2.312500,2.307157,0.002316
0_0000001_1_1110011,-1.796875,-1.781078,0.008869
1_0000000_1_1010110,-0.671875,-0.670438,0.002144
0_0000001_1_1100001,-1.515625,-1.506933,0.005768
0_0000001_0_1000000,1.000000,1.009262,0.009177
0_0000001_1_1001101,-1.203125,-1.205190,0.001713
0_0000001_0_1000001,1.015625,1.024767,0.008921
0_0000111_1_1101110,-110.000000,-109.448753,0.005037
1_0000010_0_1111000,0.234375,0.236584,0.009339
